Time,Knee,Shoulder,Elbow,Squats,ArmRaises,BicepCurls,StrictPress,Warnings
2.588029146194458,36.53248596458005,22.551821271352427,67.22756441538704,0,0,0,0,Knees collapsing inward
2.7680890560150146,36.228269338947676,22.641283089101254,67.2206044526228,0,0,0,0,Knees collapsing inward
2.865374803543091,36.22252173476111,22.651022938857693,67.22261252823877,0,0,0,0,Knees collapsing inward
2.931823968887329,36.043171212440335,22.72450894413786,67.22283792448138,0,0,0,0,Knees collapsing inward
2.9980998039245605,35.929629562772625,19.382755222891788,67.27941921156577,0,0,0,0,Knees collapsing inward
3.0325300693511963,35.895990881110315,19.392040865068424,67.2750410603078,0,0,0,0,Knees collapsing inward
3.0655319690704346,35.8695717094007,19.4110646494542,67.28633136300583,0,0,0,0,Knees collapsing inward
3.1323719024658203,35.77775689148281,19.442268368677404,67.29436366546976,0,0,0,0,Knees collapsing inward
3.166408061981201,35.77136041932509,19.449347859752123,67.29848909972844,0,0,0,0,Knees collapsing inward
3.1991069316864014,35.75451375773726,19.459328473676802,67.30452698695474,0,0,0,0,Knees collapsing inward
3.2337892055511475,35.73549509599335,19.473509653941043,67.31425317633284,0,0,0,0,Knees collapsing inward
3.266568183898926,35.7456208514379,19.472493663302004,67.30781913813469,0,0,0,0,Knees collapsing inward
3.3008790016174316,35.74584966277509,19.47546821068554,67.30443819449553,0,0,0,0,Knees collapsing inward
3.333786964416504,35.77522630639532,19.46262745504592,67.294172420173,0,0,0,0,Knees collapsing inward
3.36735200881958,35.789436514963526,19.456063643253536,67.28949374059154,0,0,0,0,Knees collapsing inward
3.3993849754333496,35.81930834729858,19.442691840405946,67.28265672123236,0,0,0,0,Knees collapsing inward
3.4348249435424805,35.82090319646978,19.43828978348587,67.28342853260857,0,0,0,0,Knees collapsing inward
3.467763900756836,35.81749493207394,19.44878778424018,67.31007310056079,0,0,0,0,Knees collapsing inward
3.5010759830474854,35.83364832946102,19.44519851983134,67.31061268550522,0,0,0,0,Knees collapsing inward
3.534691095352173,35.84833323617655,19.44439255750928,67.3116645346374,0,0,0,0,Knees collapsing inward
3.567081928253174,35.83259989542343,19.44654918973971,67.31415755368445,0,0,0,0,Knees collapsing inward
3.6015079021453857,35.8499622362936,19.44294626495253,67.31113177988215,0,0,0,0,Knees collapsing inward
3.63559889793396,35.854627255496716,19.44442158581325,67.3082699306199,0,0,0,0,Knees collapsing inward
3.6683669090270996,35.83992527330826,19.450073567351435,67.29671325054424,0,0,0,0,Knees collapsing inward
3.7019100189208984,35.82428755520352,19.448734850274114,67.29265611817726,0,0,0,0,Knees collapsing inward
3.7367091178894043,35.83033227261898,19.442980415898376,67.28777936310986,0,0,0,0,Knees collapsing inward
3.768354892730713,35.85233914212476,19.449827680541315,67.29125592939741,0,0,0,0,Knees collapsing inward
3.8028669357299805,35.847605821029944,19.45253926564181,67.28993770288758,0,0,0,0,Knees collapsing inward
3.8364720344543457,35.84764680216496,19.460160049208252,67.29340060879679,0,0,0,0,Knees collapsing inward
3.8691439628601074,35.843388179217456,19.46543807788938,67.29795634497319,0,0,0,0,Knees collapsing inward
3.9027040004730225,35.82336889476015,19.473832380379324,67.30209543961021,0,0,0,0,Knees collapsing inward
